순번,영화명,감독,제작사,수입사,배급사,개봉일,영화형태,국적,전국 매출액,전국 관객수,장르,등급,영화구분
1370,두 개의 달,김동빈,(주)고스트픽처스 (주)주피터필름 롯데쇼핑㈜롯데엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2012-07-12,장편,한국,2944786748,425972,공포(호러),15세이상관람가,일반영화
1371,나를 잊지 말아요,이윤정,(주)더블유 팩토리,,(주)씨제이이엔엠,2016-01-07,장편,한국,3398915000,425799,멜로/로맨스,15세이상관람가,일반영화
1372,드래곤볼 에볼루션,제임스 왕,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2009-03-12,장편,미국,2695732696,425571,액션,전체관람가,일반영화
1373,이웃사촌,이환경,(주)시네마허브 환타지엔터테인먼트,,(주)리틀빅픽쳐스 (주)트리니티픽쳐스,2020-11-25,장편,한국,3647897960,424764,드라마,12세이상관람가,일반영화
1374,월드 오브 투모로우,케리 코란,파라마운트 픽쳐스,(주)쇼박스,(주)쇼박스,2005-01-14,장편,미국,0,424551,SF,전체관람가,일반영화
1375,로망스,문승욱,(주)엘제이필름,,CJ ENM,2006-03-16,장편,한국,0,424514,멜로/로맨스,18세관람가,일반영화
1376,다이버전트,닐 버거,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-04-16,장편,미국,3297709011,424041,SF,15세이상관람가,일반영화
1377,티끌모아 로맨스,김정환,(주)아이에이치큐 ㈜인디스토리,,필라멘트픽쳐스,2011-11-10,장편,한국,2942253500,424002,멜로/로맨스,15세이상관람가,일반영화
1378,뉴 폴리스 스토리,진목승,차이나필름그룹,(주)시네마천국 (주)그림상자,(유)영화사 화수분 코리아픽쳐스(주),2005-01-21,장편,홍콩,0,423487,액션,15세관람가,일반영화
1379,신이 보낸 사람,김진무,주식회사 태풍코리아,,주식회사 마운틴픽쳐스 (주)마인스 엔터테인먼트,2014-02-13,장편,한국,3059228600,423026,드라마,15세이상관람가,독립/예술영화
1380,기다리다 미쳐,류승진,블루버스 픽쳐스 (주)아이필름홀딩스,,(주)시네마서비스,2008-01-01,장편,한국,2725342667,422363,멜로/로맨스,15세이상관람가,일반영화
1381,우리 방금 결혼했어요,숀 레비,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2003-03-07,장편,미국,0,420000,멜로/로맨스,15세관람가,일반영화
1382,뚝방전설,조범구,(주)싸이더스,,(주)쇼박스,2006-09-07,장편,한국,0,418445,액션,18세관람가,일반영화
1383,온워드: 단 하루의 기적,댄 스캔론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2020-06-17,장편,미국,3581335060,416739,애니메이션,전체관람가,일반영화
1384,흥부: 글로 세상을 바꾼 자,조근현,(주)영화사 궁 (주)발렌타인필름,,롯데쇼핑㈜롯데엔터테인먼트,2018-02-14,장편,한국,3381050200,416303,사극,12세이상관람가,일반영화
1385,무뢰한,오승욱,(주)사나이픽처스,,CGV아트하우스,2015-05-27,장편,한국,3262087431,414626,멜로/로맨스,청소년관람불가,일반영화
1386,늑대소년-확장판,조성희,(주)영화사비단길,,(주)씨제이이엔엠,2012-12-06,장편,한국,2868302500,414083,멜로/로맨스,15세이상관람가,일반영화
1387,미스터 주부퀴즈왕,유선동,폴스타엔터테인먼트,,(주)쇼박스,2005-09-30,장편,한국,0,413157,코미디,12세관람가,일반영화
1388,해피 데스데이 2 유,크리스토퍼 랜던,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-02-14,장편,미국,3437809200,412850,공포(호러),15세이상관람가,일반영화
1389,킹 아서: 제왕의 검,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-17,장편,영국,3348220655,412843,판타지,12세이상관람가,일반영화
1390,스텝 업,앤 플레쳐,,㈜스튜디오이쩜영,㈜스튜디오이쩜영,2006-11-23,장편,미국,0,411858,멜로/로맨스,12세관람가,일반영화
1391,주온 : 끝의 시작,오치아이 마사유키,,(주)엔케이컨텐츠,(주)넥스트엔터테인먼트월드(NEW),2014-07-16,장편,일본,3071127231,410644,공포(호러),15세이상관람가,일반영화
1392,극장판 공룡메카드: 타이니소어의 섬,최신규 유재운,(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2019-01-10,장편,한국,3140214420,410131,애니메이션,전체관람가,일반영화
1393,러빙 빈센트,도로타 코비엘라 휴 웰치맨,,(주)퍼스트런,(주)스튜디오디에이치엘 판씨네마(주),2017-11-09,장편,영국,3252392261,408322,애니메이션,15세이상관람가,독립/예술영화
1394,넛잡 2,캘런 브런커,(주)레드로버 툰박스 엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2017-10-03,장편,한국,3038945100,407727,애니메이션,전체관람가,일반영화
1395,니코: 산타비행단의 모험,캐리 주스넌 요르겐 레르담,,데이지엔터테인먼트,씨너스엔터테인먼트(주),2012-12-25,장편,핀란드,2786834000,407264,애니메이션,전체관람가,일반영화
1396,BB프로젝트,진목승,,브에나비스타인터내셔널코리아,브에나비스타인터내셔널코리아,2006-09-28,장편,홍콩,0,406558,액션,12세관람가,일반영화
1397,사랑해  말순씨,박흥식,블루스톰(주),,쇼이스트(주),2005-11-03,장편,한국,0,406526,드라마,12세관람가,일반영화
1398,나의 소녀시대,프랭키 첸,,오드,오드,2016-05-12,장편,대만,3292020500,406284,멜로/로맨스,15세이상관람가,독립/예술영화
1399,섹스 앤 더 시티 2,마이클 패트릭 킹,뉴라인 시네마 HBO필름,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-06-10,장편,미국,3074026799,405580,드라마,청소년관람불가,일반영화
1400,좋은 친구들,이도윤,오퍼스픽쳐스(유) 굿초이스컷픽쳐스(주),,(주)씨제이이엔엠,2014-07-10,장편,한국,3201527031,404456,범죄,청소년관람불가,일반영화
1401,아메리칸 갱스터,리들리 스콧,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2007-12-27,장편,미국,,403624,범죄,청소년관람불가,일반영화
1402,소리도 없이,홍의정,(주)루이스 픽쳐스 (주)브로콜리픽쳐스,,(주)에이스메이커무비웍스,2020-10-15,장편,한국,3558023900,403326,범죄,15세이상관람가,일반영화
1403,전설의 고향,김지환,윈텍필름(주),,(주)프라임엔터테인먼트,2007-05-23,장편,한국,0,402117,공포(호러),12세이상관람가,일반영화
1404,아메리칸 메이드,더그 라이만,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-09-14,장편,미국,3175539145,401541,범죄,15세이상관람가,일반영화
1405,아스트로 보이-아톰의 귀환,데이빗 보워스,이미지애니메이션스튜디오,㈜케이디미디어,㈜케이디미디어,2010-01-13,장편,미국,2640270821,401477,애니메이션,전체관람가,일반영화
1406,버즈 오브 프레이(할리 퀸의 황홀한 해방),캐시 얀,,워너브러더스 코리아(주),워너브러더스 코리아(주),2020-02-05,장편,미국,3548999190,401411,액션,15세이상관람가,일반영화
1407,옹박 - 무에타이의 후예,프라챠 핀카엡,사하몽콜 필름 인터내셔널,(주)쇼박스,(주)쇼박스,2004-05-26,장편,태국,0,400958,액션,15세관람가,일반영화
1408,닌자터틀,조나단 리브스만,,(주)씨제이이엔엠,(주)씨제이이엔엠,2014-08-28,장편,미국,3321120147,400329,액션,12세이상관람가,일반영화
1409,판타스틱 4,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-08-20,장편,미국,3029310600,399667,액션,12세이상관람가,일반영화
1410,익스펜더블,실베스터 스탤론,밀레니엄 필름즈,(주)동아수출공사,(주)싸이더스,2010-08-19,장편,미국,3025538174,398097,스릴러,청소년관람불가,일반영화
1411,사랑이 무서워,정우철,(주)위픽쳐스 (주)디씨지플러스,,롯데쇼핑㈜롯데엔터테인먼트,2011-03-10,장편,한국,2992783000,397923,코미디,15세이상관람가,일반영화
1412,도마뱀,강지은,(주)영화사아침,,(주)시네마서비스,2006-04-27,장편,한국,0,397913,멜로/로맨스,12세관람가,일반영화
1413,몬스터 패밀리,호거 태프,,(주)우성엔터테인먼트,(주)키다리이엔티,2017-12-21,장편,독일,2941183700,397633,애니메이션,전체관람가,일반영화
1414,무간도,유위강 맥조휘,,(주)엔케이컨텐츠 태창엔터테인먼트(주),(주)디스테이션 태창엔터테인먼트(주),2003-02-21,장편,홍콩,0,397448,액션,12세이상관람가 12세관람가,독립/예술영화
1415,명탐정 코난 : 이차원의 저격수,시즈노 코분,,(주)씨제이이엔엠,(주)씨제이이엔엠,2014-08-06,장편,일본,2757396000,397381,애니메이션,12세이상관람가,일반영화
