순번,영화명,감독,제작사,수입사,배급사,개봉일,영화형태,국적,전국 매출액,전국 관객수,장르,등급,영화구분
960,화이트: 저주의 멜로디,김곡 김선,(주)두엔터테인먼트,,(주)씨제이이엔엠,2011-06-09,장편,한국,5587166000,790954,공포(호러),15세이상관람가,일반영화
961,상의원,이원석,(주)영화사비단길 상의원문화산업전문(유),,(주)쇼박스 (주)와우픽쳐스,2014-12-24,장편,한국,6202433964,790158,사극,15세이상관람가,일반영화
962,노트북,닉 카사베츠,뉴라인 시네마,(주)퍼스트런 스튜디오플러스(주),(주)퍼스트런 TCO(주)더콘텐츠온 글뫼 주식회사 CJ ENM,2004-11-26,장편,미국,0,789087,멜로/로맨스,15세관람가 15세이상관람가,독립/예술영화
963,잭 리처,크리스토퍼 맥쿼리,파라마운트 픽쳐스,(주)씨제이이엔엠,(주)씨제이이엔엠,2013-01-17,장편,미국,5758577000,784031,액션,15세이상관람가,일반영화
964,러시 아워 3,브렛 래트너,뉴라인 시네마,인터비스앤파트너스(주),CJ ENM,2007-10-03,장편,미국,0,783668,범죄,15세이상관람가,일반영화
965,숨바꼭질,존 폴슨,투엔티쓰 센츄리-폭스 필름 코퍼레이션 조셉슨엔터테인먼트,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2005-02-25,장편,미국,0,779200,드라마,15세관람가,일반영화
966,데스노트,카네코 슈스케,,(주)엔케이컨텐츠 거원시네마(주),(주)엔케이컨텐츠 UIP코리아,2006-11-02,장편,일본,0,777230,범죄,12세관람가,일반영화
967,관능의 법칙,권칠인,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2014-02-13,장편,한국,5808789500,773996,드라마,청소년관람불가,일반영화
968,그랜드 부다페스트 호텔,웨스 앤더슨,,(주)피터팬픽쳐스 이십세기폭스코리아(주),(주)피터팬픽쳐스 이십세기폭스코리아(주),2014-03-20,장편,미국,6012395982,773649,미스터리,청소년관람불가 15세이상관람가,독립/예술영화
969,푸른소금,이현승,(주)미디어앤시네마스튜디오블루,,(주)씨제이이엔엠,2011-08-31,장편,한국,5739824500,771699,액션,15세이상관람가,일반영화
970,플라이트 플랜,로베르트 슈벤트케,터치스톤 픽쳐스 이메이진엔터테인먼트,브에나비스타인터내셔널코리아,브에나비스타인터내셔널코리아,2005-11-18,장편,미국,0,771544,드라마,12세관람가,일반영화
971,나는 왕이로소이다,장규성,데이지엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2012-08-08,장편,한국,5317185404,768971,사극,12세이상관람가,일반영화
972,상류사회,변혁,(주)하이브미디어코프,,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29,장편,한국,6313416163,768442,드라마,청소년관람불가,일반영화
973,나의 결혼원정기,황병국,튜브픽쳐스(주),,롯데쇼핑㈜롯데엔터테인먼트,2005-11-23,장편,한국,0,767657,드라마,12세관람가,일반영화
974,뽀로로 극장판 보물섬 대모험,김현호 윤창섭 김현호,(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2019-04-25,장편,한국,5886268900,766758,애니메이션,전체관람가,일반영화
975,레슬러,김대웅,(주)안나푸르나필름,,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,장편,한국,6440492657,765963,드라마,15세이상관람가,일반영화
976,토르: 마법망치의 전설,오스카 요나손 토비 젠켈 거나 칼슨,,(주)스마일이엔티,롯데쇼핑㈜롯데엔터테인먼트 (주)스마일이엔티,2012-02-09,장편,아이슬란드,5529185000,765315,애니메이션,전체관람가,일반영화
977,레지던트 이블: 파멸의 날,폴 W.S. 앤더슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-01-25,장편,미국,6422202365,765259,액션,청소년관람불가,일반영화
978,동해물과 백두산이,안진우,(주)영화사샘 (주)쇼박스,,(주)쇼박스,2003-12-31,장편,한국,0,764567,코미디,15세관람가,일반영화
979,공각기동대 : 고스트 인 더 쉘,루퍼트 샌더스,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-03-29,장편,미국,6285970884,764072,SF,15세이상관람가,일반영화
980,두 얼굴의 여친,이석훈,(주)화인웍스,,(주)쇼박스,2007-09-13,장편,한국,0,762112,멜로/로맨스,15세이상관람가,일반영화
981,리오 2,카를로스 살다나,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-01,장편,미국,5631146900,761404,애니메이션,전체관람가,일반영화
982,모던보이,정지우,(주)시네마서비스글로벌 (주)시네마서비스,,CJ ENM,2008-10-02,장편,한국,4971421000,758473,드라마,12세이상관람가,일반영화
983,판타스틱4,팀 스토리,마블 엔터테인먼트 이십세기폭스필름코퍼레이션,,이십세기폭스코리아(주),2005-08-11,장편,미국,0,757900,액션,,일반영화
984,스플릿,최국희,오퍼스픽쳐스(유),,오퍼스픽쳐스(유),2016-11-09,장편,한국,6097721539,757430,드라마,15세이상관람가,일반영화
985,볼트,바이론 하워드 크리스 윌리엄스,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-12-31,장편,미국,4993959268,757337,애니메이션,전체관람가,일반영화
986,캣츠,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-12-24,장편,미국,6322357050,756232,뮤지컬,12세이상관람가,일반영화
987,안녕  헤이즐,조쉬 분,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-08-13,장편,미국,5795507000,744387,드라마,12세이상관람가,일반영화
988,그림형제 : 마르바덴 숲의 전설,테리 길리엄,디멘션 필름즈 메트로-골드윈-마이어,쇼이스트(주),쇼이스트(주),2005-11-17,장편,미국,0,744045,판타지,15세관람가,일반영화
989,주유소 습격사건 2,김상진,㈜감독의집 (주)시네마서비스,,(주)시네마서비스,2010-01-21,장편,한국,5466499511,742475,액션,15세이상관람가,일반영화
990,디파티드,마틴 스코세이지,,워너브러더스 코리아(주),워너브러더스 코리아(주),2006-11-23,장편,미국,0,742276,드라마,15세이상관람가,일반영화
991,싸이보그지만 괜찮아,박찬욱,(주)모호필름,,CJ ENM,2006-12-07,장편,한국,0,739481,SF,12세이상관람가,일반영화
992,시간 여행자의 아내,로베르트 슈벤트케,뉴라인 시네마,(주)해머픽쳐스 유니코리아문예투자(주),(주)일레븐엔터테인먼트 (주)넥스트엔터테인먼트월드(NEW),2009-10-28,장편,미국,5485456860,738963,멜로/로맨스,12세이상관람가,일반영화
993,김씨표류기,이해준,반짝반짝영화사(주),,(주)시네마서비스,2009-05-14,장편,한국,4796220849,733931,코미디,12세이상관람가,일반영화
994,런던 해즈 폴른,바박 나자피,,우성엔터테인먼트,메가박스중앙(주)플러스엠,2016-03-10,장편,미국,5908203979,731551,액션,15세이상관람가,일반영화
995,더 파이브,정연식,(주)시네마서비스,,(주)씨제이이엔엠,2013-11-14,장편,한국,5343797000,731212,스릴러,청소년관람불가,일반영화
996,Mr.로빈 꼬시기,김상우,(주)싸이더스,,롯데쇼핑㈜롯데엔터테인먼트,2006-12-07,장편,한국,0,730443,멜로/로맨스,12세이상관람가,일반영화
997,순정만화,류장하,㈜렛츠필름 영화사청어람(주),,CJ ENM,2008-11-27,장편,한국,4674779333,730343,멜로/로맨스,12세이상관람가,일반영화
998,해피엔드,정지우,(주)명필름,,,1999-12-11,장편,한국,0,730000,멜로/로맨스,18세관람가,일반영화
999,비스티 보이즈,윤종빈,(주)와이어투와이어필름,,롯데쇼핑㈜롯데엔터테인먼트,2008-04-30,장편,한국,4785372500,727409,드라마,청소년관람불가,독립/예술영화
1000,푸시,폴 맥기건,서미트 엔터티인먼트,와이즈앤와이드엔터테인먼트(주),롯데쇼핑㈜롯데엔터테인먼트,2009-03-19,장편,미국,4817364578,726998,SF,15세이상관람가,일반영화
1001,해피 에로 크리스마스,이건동,(주)튜브엔터테인먼트,,(주)튜브엔터테인먼트,2003-12-17,장편,한국,0,726783,드라마,15세관람가,일반영화
1002,슬픔보다 더 슬픈 이야기,원태연,(주)코어콘텐츠미디어,,(주)쇼박스,2009-03-11,장편,한국,4774850499,724107,멜로/로맨스,15세이상관람가,일반영화
1003,스파이더맨: 뉴 유니버스,밥 퍼시케티 피터 램지 로드니 로스맨,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-12-12,장편,미국,6008476176,723450,애니메이션,12세이상관람가,일반영화
1004,물괴,허종호,(주)태원엔터테인먼트,,롯데컬처웍스(주)롯데엔터테인먼트 (주)키다리이엔티,2018-09-12,장편,한국,6104164954,723414,액션,15세이상관람가,일반영화
1005,드림걸즈,빌 콘돈,드림웍스 SKG 파라마운트 픽쳐스,(주)영화사오원 CJ ENM,(주)영화사오원 CJ ENM,2007-02-22,장편,미국,0,722923,드라마,15세이상관람가,일반영화
1006,80일간의 세계 일주,프랑코 코라시,(주)쇼박스,월트 디즈니 픽쳐스,(주)쇼박스,2004-09-17,장편,미국,0,721858,코미디,,일반영화
1007,미쓰백,이지원,영화사 배,,(주)리틀빅픽쳐스,2018-10-11,장편,한국,6027243066,720558,드라마,15세이상관람가,일반영화
1008,거울속으로,김성호,키플러스픽쳐스(주),,(주)시네마서비스,2003-08-14,장편,한국,0,719234,공포(호러),15세관람가,일반영화
1009,꽃피는 봄이 오면,류장하,(주)씨즈엔터테인먼트,,영화사청어람(주),2004-09-23,장편,한국,0,717618,드라마,12세관람가,일반영화
1010,4인용 식탁,이수연,싸이더스에이치큐 (주)영화사봄,,CJ ENM,2003-08-08,장편,한국,,717494,공포(호러),15세관람가,일반영화
1011,신데렐라,케네스 브래너,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-03-19,장편,미국,5499767900,716386,멜로/로맨스,전체관람가,일반영화
1012,에비에이터,마틴 스코세이지,미라맥스 필름즈 포워드패스 워너 브러더스 픽쳐스,코리아픽쳐스(주),코리아픽쳐스(주),2005-02-18,장편,독일,0,715763,드라마,15세관람가,일반영화
1013,풍산개,전재홍,(주)김기덕 필름,,(주)넥스트엔터테인먼트월드(NEW),2011-06-23,장편,한국,5395019500,714102,드라마,청소년관람불가,일반영화
1014,날씨의 아이,신카이 마코토,,(주)미디어캐슬,메가박스중앙(주)플러스엠 (주)미디어캐슬 워터홀컴퍼니(주),2019-10-30,장편,일본,5845763050,712750,애니메이션,15세이상관람가,일반영화
1015,고질라,가렛 에드워즈,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-05-15,장편,미국,5972847963,709734,액션,12세이상관람가,일반영화
1016,가을로,김대승,㈜영화세상,,롯데쇼핑㈜롯데엔터테인먼트,2006-10-26,장편,한국,0,707820,멜로/로맨스,15세관람가,일반영화
1017,마음이2,이정철,북경금전영업유한공사 (주)씨엘엔터테인먼트 (주)화인웍스,,롯데쇼핑㈜롯데엔터테인먼트,2010-07-21,장편,한국,4705692210,707748,드라마,전체관람가,독립/예술영화
1018,로보트 태권 V,김청기,서울동화,,,1977-04-08,장편,한국,0,705207,SF,전체관람가,일반영화
1019,라스베가스에서만 생길 수 있는 일,톰 바우건,,이십세기폭스코리아(주),이십세기폭스코리아(주),2008-05-29,장편,미국,4604235334,704834,멜로/로맨스,15세이상관람가,일반영화
1020,스위니 토드 : 어느 잔혹한 이발사 이야기,팀 버튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2008-01-17,장편,미국,4761820000,704058,뮤지컬,청소년관람불가,일반영화
1021,국가대표 2,김종현,케이엠컬쳐㈜,,메가박스중앙(주)플러스엠,2016-08-10,장편,한국,5424324942,703024,드라마,12세이상관람가,일반영화
1022,천일의 스캔들,저스틴 채드윅,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2008-03-20,장편,미국,4599546001,700095,사극,15세이상관람가,일반영화
1023,내 깡패 같은 애인,김광식,(주)제이케이필름,,롯데쇼핑㈜롯데엔터테인먼트,2010-05-20,장편,한국,5109441315,699973,드라마,15세이상관람가,독립/예술영화
1024,갱스 오브 뉴욕,마틴 스코세이지,,코리아픽쳐스(주),코리아픽쳐스(주),2003-02-28,장편,미국,0,698000,드라마,18세관람가,일반영화
1025,6월의 일기,임경수,(주)필름앤픽쳐스,,(주)쇼박스,2005-12-01,장편,한국,0,697980,드라마,15세관람가,일반영화
1026,트랜센던스,월리 피스터,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-05-14,장편,미국,5478201500,696412,SF,12세이상관람가,일반영화
1027,피터 팬,P.J. 호건,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-01-16,장편,미국,0,694782,어드벤처,전체관람가,일반영화
1028,님스 아일랜드,마크 레빈,,유니코리아문예투자(주),롯데쇼핑㈜롯데엔터테인먼트,2008-07-17,장편,미국,4273735000,694728,코미디,전체관람가,일반영화
1029,통증,곽경택,(주)트로피엔터테인먼트 (주)영화사축제 (주)미스터로맨스,,롯데쇼핑㈜롯데엔터테인먼트,2011-09-07,장편,한국,5207167000,693101,멜로/로맨스,15세이상관람가,일반영화
1030,여교수의 은밀한 매력,이하,엔젤언더그라운드(주) (주)엠케이픽처스,,(주)엠케이픽처스,2006-03-16,장편,한국,0,691735,코미디,18세관람가,일반영화
1031,인페르노,론 하워드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-19,장편,미국,5656281303,689071,미스터리,15세이상관람가,일반영화
1032,명탐정 피카츄,롭 레터맨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-05-09,장편,미국,5730788546,686809,액션,전체관람가,일반영화
1033,분노의 질주: 더 오리지널,저스틴 린,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2009-04-02,장편,미국,4598492639,685746,액션,15세이상관람가,일반영화
1034,스텝 업 3D,존 추,오프스프링,(주)나이너스엔터테인먼트,(주)화앤담이엔티,2010-08-05,장편,미국,7462604919,682712,드라마,12세이상관람가,일반영화
1035,스파이더위크가의 비밀,마크 S. 워터스,,CJ ENM,CJ ENM,2008-02-14,장편,미국,4151259500,682525,어드벤처,전체관람가,일반영화
1036,픽셀,크리스 콜럼버스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-16,장편,미국,5390909947,681945,액션,12세이상관람가,일반영화
1037,앵그리버드 더 무비,퍼갈 레일리 클레이 케이티스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-05-19,장편,미국,5218111744,680606,애니메이션,전체관람가,일반영화
1038,천하장사 마돈나,이해영 이해준,(주)싸이더스 반짝반짝영화사(주),,CJ ENM,2006-08-31,장편,한국,0,678930,드라마,15세관람가,일반영화
1039,기담,정식 정범식,영화사 도로시(주),,(주)영화사오원 ㈜스튜디오이쩜영,2007-08-01,장편,한국,0,678546,공포(호러),15세이상관람가,독립/예술영화
1040,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,(주)씨제이이엔엠 (주)칵테일 미디어,,(주)씨제이이엔엠,2018-07-25,장편,한국,5001247250,678091,애니메이션,전체관람가,일반영화
1041,리턴,이규만,(주)아름다운영화사 로터스필름(주),,CJ ENM,2007-08-08,장편,한국,0,677939,미스터리,청소년관람불가,일반영화
1042,트롤,마이크 미첼 월트 도른,드림웍스 애니메이션,(주)씨제이이엔엠,(주)씨제이이엔엠,2017-02-16,장편,미국,5011161500,675966,애니메이션,전체관람가,일반영화
1043,Mr.히치: 당신을 위한 데이트 코치,앤디 테넌트,오버브룩 엔터테인먼트,소니픽쳐스릴리징코리아,소니픽쳐스릴리징코리아,2005-03-11,장편,미국,0,675444,멜로/로맨스,12세관람가,일반영화
1044,몬스터 vs 에이리언,롭 레터맨 콘래드 베논,드림웍스 애니메이션,CJ ENM,CJ ENM,2009-04-23,장편,미국,4622178693,672285,애니메이션,전체관람가,일반영화
1045,고양이: 죽음을 보는 두 개의 눈,변승욱,파인하우스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2011-07-07,장편,한국,4767098000,670295,공포(호러),15세이상관람가,일반영화
1046,S.W.A.T. 특수기동대,클락 존슨,콜럼비아트라이스타,,콜럼비아트라이스타,2003-09-25,장편,미국,0,669835,액션,12세관람가,일반영화
1047,패신저스,모튼 틸덤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-01-04,장편,미국,5467466918,668576,어드벤처,12세이상관람가,일반영화
1048,연애  그 참을 수 없는 가벼움,김해곤,(주)굿플레이어,,CJ ENM,2006-09-07,장편,한국,0,668104,멜로/로맨스,18세관람가,일반영화
1049,퍼스트맨,데이미언 셔젤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-10-18,장편,미국,6094765639,665364,SF,12세이상관람가,일반영화
1050,카,존 라세터,,브에나비스타인터내셔널코리아,브에나비스타인터내셔널코리아,2006-07-20,장편,미국,0,665303,애니메이션,전체관람가,일반영화
1051,하늘에서 음식이 내린다면,필 로드 크리스 밀러,소니 픽쳐스 애니메이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-02-11,장편,미국,5500218152,665096,애니메이션,전체관람가,일반영화
1052,리핑 10개의 재앙,스티븐 홉킨스,워너 브러더스 픽쳐스 다크 캐슬 엔터테인먼트,워너브러더스 코리아(주),워너브러더스 코리아(주),2007-04-19,장편,미국,0,664000,SF,15세이상관람가,일반영화
1053,인어 공주,박흥식,나우필름(주),,CJ ENM,2004-06-30,장편,한국,0,661679,드라마,전체관람가,독립/예술영화
1054,명탐정 코난 : 칠흑의 추적자,야마모토 타이치로,,(주)온미디어,에이원엔터테인먼트,2009-07-29,장편,일본,4248881868,661550,애니메이션,전체관람가,일반영화
1055,신데렐라,봉만대,(주)미니필름,,(주)쇼박스,2006-08-17,장편,한국,0,659122,공포(호러),15세관람가,일반영화
1056,삼총사 3D,폴 W.S. 앤더슨,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2011-10-12,장편,독일,5710755500,657564,액션,12세이상관람가,일반영화
1057,샤잠!,데이비드 F. 샌드버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-04-03,장편,미국,5730673797,656492,액션,12세이상관람가,일반영화
1058,실종,김성홍,활동사진 모션픽쳐,,(주)시너지하우스 (시너지),2009-03-19,장편,한국,4415413589,654587,범죄,청소년관람불가,일반영화
1059,열정같은소리하고있네,정기훈,반짝반짝영화사(주),,(주)넥스트엔터테인먼트월드(NEW),2015-11-25,장편,한국,4761399902,654407,드라마,15세이상관람가,일반영화
1060,아이 엠 넘버 포,D.J. 카루소,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-02-24,장편,미국,4955215500,654386,액션,12세이상관람가,일반영화
1061,엔더스 게임,개빈 후드,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-12-31,장편,미국,4925056000,654212,SF,12세이상관람가,일반영화
1062,그날의 분위기,조규장,영화사 문(주),,(주)쇼박스,2016-01-14,장편,한국,5142899612,652453,멜로/로맨스,15세이상관람가,일반영화
1063,여고괴담 5,이종용,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2009-06-18,장편,한국,4205826795,652097,공포(호러),15세이상관람가,일반영화
1064,울학교 이티,박광춘,㈜커리지필름,,에스케이텔레콤(주),2008-09-11,장편,한국,4156170833,651439,드라마,15세이상관람가,일반영화
1065,오션스,자끄 페렝 자크 클로드,가라티필름,유니코리아문예투자(주),롯데쇼핑㈜롯데엔터테인먼트,2010-07-28,장편,프랑스,4473889375,650994,다큐멘터리,전체관람가,독립/예술영화
1066,스텔스,롭 코헨,콜럼비아 픽쳐스 코포레이션,소니픽쳐스릴리징코리아,소니픽쳐스릴리징코리아,2005-07-28,장편,미국,0,650160,액션,12세관람가,일반영화
1067,아빠는 딸,김형협,영화사김치(주),,메가박스중앙(주)플러스엠,2017-04-12,장편,한국,5047634395,646412,코미디,12세이상관람가,일반영화
1068,프레스티지,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2006-11-02,장편,미국,0,646184,스릴러,15세관람가,일반영화
1069,사냥,이우철,(주)빅스톤픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2016-06-29,장편,한국,4912658515,645922,액션,15세이상관람가,일반영화
1070,눈먼자들의 도시,페르난도 메이렐레스,,(주)토마스엔터프라이즈,(주)싸이더스,2008-11-20,장편,캐나다,4356692000,645218,드라마,청소년관람불가,일반영화
1071,리오,카를로스 살다나,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-07-27,장편,미국,5022007500,645191,애니메이션,전체관람가,일반영화
1072,나를 찾아줘,김승우,(주)26컴퍼니,,워너브러더스 코리아(주),2019-11-27,장편,한국,5117014620,645082,스릴러,15세이상관람가,일반영화
1073,아파트,안병기,(주)토일렛픽쳐스,,(주)쇼박스,2006-07-06,장편,한국,0,644893,공포(호러),18세관람가,일반영화
1074,명탐정 코난 : 침묵의 15분,시즈노 코분,,,(주)미디어데이,2011-08-03,장편,일본,4209588000,644216,애니메이션,전체관람가,일반영화
1075,페임,케빈 탄차로엔,레이크쇼어 엔터테인먼트,(주)비싸이드 픽쳐스 주식회사 모쿠슈라픽쳐스 필립 스튜디오 (주)누리픽쳐스,(주)다자인소프트 롯데쇼핑㈜롯데엔터테인먼트,2009-09-24,장편,미국,4727133460,644163,뮤지컬,12세이상관람가,독립/예술영화
1076,머니볼,베넷 밀러,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-17,장편,미국,4677562000,641099,드라마,12세이상관람가,일반영화
1077,사랑할 때 버려야 할 아까운 것들,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2004-02-13,장편,미국,0,640830,코미디,15세관람가,일반영화
1078,백만장자의 첫사랑,김태균,(주)에스씨에스엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2006-02-09,장편,한국,0,639596,멜로/로맨스,12세관람가,일반영화
1079,호튼,지미 헤이워드 스티브 마티노,,이십세기폭스코리아(주),이십세기폭스코리아(주),2008-04-30,장편,미국,3802813334,638598,애니메이션,전체관람가,일반영화
1080,광대들: 풍문조작단,김주호,(주)영화사심플렉스,,워너브러더스 코리아(주),2019-08-21,장편,한국,5226776088,637021,사극,12세이상관람가,일반영화
1081,스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-05-30,장편,미국,4646250000,636631,액션,12세이상관람가,일반영화
1082,마고리엄의 장난감 백화점,자크 헬름,,㈜스튜디오이쩜영,㈜스튜디오이쩜영,2007-12-24,장편,미국,,635341,가족,전체관람가,일반영화
1083,널 기다리며,모홍진,(주)영화사수작 모티브픽쳐스(주) (주)디씨지플러스,,(주)넥스트엔터테인먼트월드(NEW),2016-03-10,장편,한국,5232611336,634953,스릴러,청소년관람불가,일반영화
1084,플랜맨,성시흡,(주)영화사일취월장,,롯데쇼핑㈜롯데엔터테인먼트,2014-01-09,장편,한국,4528561558,632299,드라마,15세이상관람가,일반영화
1085,판타스틱 4: 실버 서퍼의 위협,팀 스토리,이십세기폭스필름코퍼레이션 마블 엔터프라이즈,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2007-08-08,장편,미국,0,631990,SF,12세이상관람가,일반영화
1086,핸드폰,김한민,(주)씨네토리 (주)한컴,,에스케이텔레콤(주),2009-02-19,장편,한국,4271780582,630049,스릴러,청소년관람불가,일반영화
1087,스승의 은혜,임대웅,(주)오죤필름 (주)화인웍스,,쇼이스트(주),2006-08-03,장편,한국,0,629452,공포(호러),18세관람가,일반영화
1088,컨택트,드니 빌뇌브,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-02,장편,미국,5174020721,629322,SF,12세이상관람가,일반영화
1089,조선마술사,김대승,위더스필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2015-12-30,장편,한국,4650016527,628576,드라마,12세이상관람가,일반영화
1090,다찌마와리,류승완,(주)외유내강 (주)쇼박스,,(주)쇼박스,2008-08-14,장편,한국,4131701167,628508,액션,12세이상관람가,일반영화
1091,명탐정 코난: 천공의 난파선,야마모토 야스이치로,도쿄 무비 신사,(주)온미디어,에이원엔터테인먼트,2010-07-21,장편,일본,4065925171,628423,애니메이션,전체관람가,일반영화
1092,설리: 허드슨강의 기적,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-09-28,장편,미국,5234170754,627102,드라마,12세이상관람가,일반영화
1093,지푸라기라도 잡고 싶은 짐승들,김용훈,(주)비에이엔터테인먼트,,메가박스중앙(주)플러스엠,2020-02-19,장편,한국,5442138750,626815,스릴러,청소년관람불가,일반영화
1094,앨빈과 슈퍼밴드2,베티 토머스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2009-12-30,장편,미국,4171956017,625900,가족,전체관람가,일반영화
1095,더 임파서블,후안 안토니오 바요나,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-01-17,장편,스페인,4444581500,622572,액션,12세이상관람가,일반영화
1096,해부학 교실,손태웅,영화사청어람(주) (주)에그필름,,영화사청어람(주),2007-07-11,장편,한국,0,622400,공포(호러),15세이상관람가,일반영화
1097,아더 크리스마스,베리 쿡,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-25,장편,미국,4779642000,622286,애니메이션,전체관람가,일반영화
1098,본 슈프리머시,폴 그린그래스,유니버셜 픽쳐스,UIP코리아,UIP코리아,2004-08-20,장편,미국,0,620000,액션,15세관람가,일반영화
1099,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,,(주)시네마리퍼블릭,씨네그루(주)다우기술,2014-12-24,장편,러시아,4482452600,618598,애니메이션,전체관람가,독립/예술영화
1100,인 타임,앤드류 니콜,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-10-27,장편,미국,4579554500,616943,SF,12세이상관람가,일반영화
1101,홍길동의 후예,정용기,시오필름(주) 어나더픽쳐스(주),,에스케이텔레콤(주),2009-11-26,장편,한국,4293061087,616654,액션,12세이상관람가,일반영화
1102,특종: 량첸살인기,노덕,(주)매그넘나인 (주)뱅가드스튜디오,,롯데쇼핑㈜롯데엔터테인먼트,2015-10-22,장편,한국,4754763118,616481,스릴러,15세이상관람가,일반영화
1103,행복을 찾아서,가브리엘 무치노,콜럼비아 픽쳐스 필름 프로덕션,(주)팝엔터테인먼트 한국소니픽쳐스릴리징브에나비스타영화㈜,(주)팝엔터테인먼트 한국소니픽쳐스릴리징브에나비스타영화㈜,2007-02-28,장편,미국,0,615374,드라마,전체관람가,일반영화
1104,앨빈과 슈퍼밴드,팀 힐,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2007-12-19,장편,미국,,612936,코미디,전체관람가,일반영화
1105,나비,김현성,(주)태원엔터테인먼트,,(주)시네마서비스,2003-04-30,장편,한국,0,612558,드라마,15세관람가,일반영화
1106,잭 리처: 네버 고 백,에드워드 즈윅,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-11-30,장편,미국,4647326258,612328,액션,15세이상관람가,일반영화
1107,미쓰GO,박철관,영화사 도로시(주),,(주)넥스트엔터테인먼트월드(NEW),2012-06-21,장편,한국,4441859000,611685,액션,15세이상관람가,일반영화
